epoch,health/backbone_grad_norm,health/update_weight_ratio,lr,lr-AdamW/pg1,lr-AdamW/pg2,step,train/depth_loss,train/normals_loss,train/segmentation_loss,train/static/weight_0,train/static/weight_1,train/static/weight_2,train/total_loss_epoch,train/total_loss_step,val/depth_abs_rel,val/depth_loss,val/depth_rmse,val/miou,val/normals_loss,val/normals_mean_angle,val/normals_within_11_25,val/segmentation_loss,val/segmentation_miou,val/segmentation_pixel_acc,val/total_loss
2,0.38532555103302,6.793944976379862e-06,0.0004997757496312261,,,259,,,,,,,,3.0100085735321045,,,,,,,,,,,
,,,,0.0004997466332561419,0.0004997466332561419,269,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004997466458007693,,,269,,,,,,,,2.928739547729492,,,,,,,,,,,
,,,,0.0004997157677814406,0.0004997157677814406,279,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004997157957404852,,,279,,,,,,,,2.7321019172668457,,,,,,,,,,,
,,,,0.0004996831298141684,0.0004996831298141684,289,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004996831412427127,,,289,,,,,,,,2.8724379539489746,,,,,,,,,,,
2,,,,,,296,,,,,,,,,0.32314419746398926,0.9355140328407288,1.3206602334976196,0.07850175350904465,0.3294495940208435,43.44014358520508,0.05781278386712074,1.8194094896316528,0.07850175350904465,0.37867480516433716,3.0843734741210938
2,,,,,,296,0.8144202828407288,0.3218735158443451,1.8145966529846191,1.0,1.0,1.0,2.9508910179138184,,,,,,,,,,,,
,,,,0.0004996487195864558,0.0004996487195864558,299,,,,,,,,,,,,,,,,,,,
3,,,0.0004996487405151129,,,299,,,,,,,,3.3411288261413574,,,,,,,,,,,
,,,,0.000499612537343038,0.000499612537343038,309,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004996125353500247,,,309,,,,,,,,2.9974889755249023,,,,,,,,,,,
,,,,0.0004995745833412531,0.0004995745833412531,319,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004995745839551091,,,319,,,,,,,,3.259018898010254,,,,,,,,,,,
,,,,0.0004995348578510409,0.0004995348578510409,329,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004995348863303661,,,329,,,,,,,,2.995339870452881,,,,,,,,,,,
,,,,0.00049949336115494,0.00049949336115494,339,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004994933842681348,,,339,,,,,,,,2.8151493072509766,,,,,,,,,,,
,,,,0.0004994500935480867,0.0004994500935480867,349,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004994500777684152,,,349,,,,,,,,2.8768680095672607,,,,,,,,,,,
,,,,0.0004994050553382124,0.0004994050553382124,359,,,,,,,,,,,,,,,,,,,
3,0.522139310836792,9.812763892114162e-06,0.0004994050832465291,,,359,,,,,,,,2.8405275344848633,,,,,,,,,,,
,,,,0.0004993582468456414,0.0004993582468456414,369,,,,,,,,,,,,,,,,,,,
3,0.522139310836792,9.812763892114162e-06,0.0004993582260794938,,,369,,,,,,,,2.446098804473877,,,,,,,,,,,
,,,,0.0004993096684032887,0.0004993096684032887,379,,,,,,,,,,,,,,,,,,,
3,0.522139310836792,9.812763892114162e-06,0.0004993096808902919,,,379,,,,,,,,3.2998464107513428,,,,,,,,,,,
,,,,0.0004992593203566584,0.0004992593203566584,389,,,,,,,,,,,,,,,,,,,
3,0.522139310836792,9.812763892114162e-06,0.0004992593312636018,,,389,,,,,,,,2.5494015216827393,,,,,,,,,,,
3,,,,,,395,,,,,,,,,0.3300984799861908,0.858977735042572,1.2062811851501465,0.093426913022995,0.3259419798851013,43.14168167114258,0.0606854073703289,1.7820453643798828,0.093426913022995,0.40232202410697937,2.966965913772583
3,,,,,,395,0.8161875605583191,0.3197192847728729,1.7834441661834717,1.0,1.0,1.0,2.9193503856658936,,,,,,,,,,,,
,,,,0.0004992072030638393,0.0004992072030638393,399,,,,,,,,,,,,,,,,,,,
4,,,0.0004992071771994233,,,399,,,,,,,,2.9109818935394287,,,,,,,,,,,
,,,,0.0004991533168955046,0.0004991533168955046,409,,,,,,,,,,,,,,,,,,,
4,0.4702414274215698,7.213039225462126e-06,0.0004991533351130784,,,409,,,,,,,,2.8263354301452637,,,,,,,,,,,
,,,,0.0004990976622349079,0.0004990976622349079,419,,,,,,,,,,,,,,,,,,,
4,0.4702414274215698,7.213039225462126e-06,0.0004990976885892451,,,419,,,,,,,,2.7741317749023438,,,,,,,,,,,
,,,,0.0004990402394778805,0.0004990402394778805,429,,,,,,,,,,,,,,,,,,,
4,0.4702414274215698,7.213039225462126e-06,0.0004990402376279235,,,429,,,,,,,,2.95175838470459,,,,,,,,,,,
,,,,0.0004989810490328296,0.0004989810490328296,439,,,,,,,,,,,,,,,,,,,
4,0.4702414274215698,7.213039225462126e-06,0.0004989810404367745,,,439,,,,,,,,2.9605042934417725,,,,,,,,,,,
,,,,0.0004989200913207339,0.0004989200913207339,449,,,,,,,,,,,,,,,,,,,
4,0.4702414274215698,7.213039225462126e-06,0.0004989200970157981,,,449,,,,,,,,2.673903226852417,,,,,,,,,,,
,,,,0.0004988573667751418,0.0004988573667751418,459,,,,,,,,,,,,,,,,,,,
4,0.6408337354660034,8.888147021934856e-06,0.0004988573491573334,,,459,,,,,,,,2.803797483444214,,,,,,,,,,,
,,,,0.0004987928758421682,0.0004987928758421682,469,,,,,,,,,,,,,,,,,,,
4,0.6408337354660034,8.888147021934856e-06,0.0004987928550690413,,,469,,,,,,,,2.920659065246582,,,,,,,,,,,
,,,,0.0004987266189804906,0.0004987266189804906,479,,,,,,,,,,,,,,,,,,,
4,0.6408337354660034,8.888147021934856e-06,0.0004987266147509217,,,479,,,,,,,,2.7508392333984375,,,,,,,,,,,
,,,,0.0004986585966613461,0.0004986585966613461,489,,,,,,,,,,,,,,,,,,,
4,0.6408337354660034,8.888147021934856e-06,0.0004986585699953139,,,489,,,,,,,,2.6928231716156006,,,,,,,,,,,
4,,,,,,494,,,,,,,,,0.3172703683376312,0.8525598049163818,1.1849554777145386,0.09831758588552475,0.3206789493560791,43.19661331176758,0.05241817608475685,1.7379661798477173,0.09831758588552475,0.40244561433792114,2.9112038612365723
4,,,,,,494,0.8040319681167603,0.3120277523994446,1.7412995100021362,1.0,1.0,1.0,2.857358932495117,,,,,,,,,,,,
