,val/miou,val/depth_abs_rel,val/depth_rmse,val/segmentation_miou,val/segmentation_pixel_acc,val/normals_mean_angle,val/normals_within_11_25,val/total_loss
bpgs_alb_nyuv2_s42,0.2240305691957473,0.2394749075174331,0.8291178941726685,0.2240305691957473,0.5466547012329102,37.70975875854492,0.1509712487459182,2.192901849746704
bpgs_nyuv2_s42,0.247404009103775,0.2311301380395889,0.8030350208282471,0.247404009103775,0.567674458026886,28.53011703491211,0.2343609035015106,2.012757539749145
gradnorm_proxy_nyuv2_s42,0.2319629937410354,0.2379785031080246,0.8411905765533447,0.2319629937410354,0.5519967675209045,26.837345123291016,0.2598269879817962,2.066657781600952
kendall_nyuv2_s42,0.234762042760849,0.2331489324569702,0.813858151435852,0.234762042760849,0.5580498576164246,29.31194305419922,0.2237519174814224,2.0438027381896973
static_nyuv2_s42,0.2986452281475067,0.2400714010000229,0.838135838508606,0.2986452281475067,0.6066895127296448,36.67953109741211,0.1617745161056518,2.049464702606201
uwso_nyuv2_s42,0.2818899154663086,0.2289930135011673,0.8078920245170593,0.2818899154663086,0.5859580636024475,26.516447067260746,0.264058917760849,1.9537286758422847
